Index,Time,(((supercap).sampler_).iRefree_).adc_val_
7612,7.611981,459.463623
7613,7.612987,459.401642
7614,7.613981,459.355408
7615,7.614987,459.04895
7616,7.615995,459.019897
7617,7.616989,459.427551
7618,7.617987,458.880951
7619,7.618981,459.281952
7620,7.619988,459.477722
7621,7.620982,459.692078
7622,7.621989,459.26416
7623,7.623241,458.485626
7624,7.623986,459.202057
7625,7.624980,459.784576
7626,7.625986,459.038208
7627,7.627001,459.088715
7628,7.627987,459.476349
7629,7.628981,459.520508
7630,7.629989,459.741119
7631,7.630983,459.653076
7632,7.631989,459.397156
7633,7.632983,459.380127
7634,7.633990,460.210846
7635,7.634984,459.468781
7636,7.635990,459.754547
7637,7.636995,459.403564
7638,7.637980,459.360626
7639,7.638988,458.476624
7640,7.639981,458.541321
7641,7.640988,459.264618
7642,7.641981,459.161987
7643,7.642988,459.040863
7644,7.643983,457.975159
7645,7.644990,458.544434
7646,7.645985,459.577423
7647,7.646991,459.492706
7648,7.648005,459.098358
7649,7.648986,459.22818
7650,7.649980,459.112274
7651,7.650986,459.317566
7652,7.651980,458.29541
7653,7.653248,459.843811
7654,7.653980,458.985657
7655,7.654987,459.468445
7656,7.655979,459.327454
7657,7.656985,460.253296
7658,7.658021,459.721954
7659,7.658988,459.323212
7660,7.659983,460.133331
7661,7.660989,459.28595
7662,7.661982,459.429443
7663,7.662988,459.739288
7664,7.663982,459.0047
7665,7.664988,459.809845
7666,7.665981,459.563721
7667,7.666988,459.680695
7668,7.667986,458.964569
7669,7.669000,458.813507
7670,7.669982,459.261993
7671,7.670988,459.696472
7672,7.671982,459.294983
7673,7.672989,459.548645
7674,7.673982,458.88147
7675,7.674988,459.629974
7676,7.675981,458.985779
7677,7.676988,458.273407
7678,7.677985,459.434265
7679,7.678979,459.11377
7680,7.680002,459.420776
7681,7.680983,459.071503
7682,7.681990,459.099304
7683,7.682984,458.252563
7684,7.683990,459.636536
7685,7.684985,459.481628
7686,7.685980,459.976593
7687,7.686986,458.911255
7688,7.687984,459.627563
7689,7.688990,459.179871
7690,7.689984,459.665497
7691,7.690996,459.754211
7692,7.691989,459.312408
7693,7.692984,459.302795
7694,7.693991,459.779358
7695,7.694984,459.342346
7696,7.695991,459.470917
7697,7.696986,458.993744
7698,7.697983,459.448364
7699,7.698990,459.440491
7700,7.699984,458.898376
7701,7.700991,458.725525
7702,7.701995,460.010956
7703,7.702989,459.808746
7704,7.703984,459.231995
7705,7.704991,459.225037
7706,7.705985,458.741364
7707,7.706992,458.95993
7708,7.707999,459.024597
7709,7.708981,458.940033
7710,7.709989,459.424438
7711,7.710984,458.875183
7712,7.712028,459.973022
7713,7.712990,458.526764
7714,7.713983,458.271362
7715,7.714989,458.503418
7716,7.715985,458.869751
7717,7.716991,458.459259
7718,7.717988,458.337891
7719,7.718981,460.025146
7720,7.719987,459.422394
7721,7.720981,459.042664
7722,7.721987,459.301117
7723,7.723003,459.101196
7724,7.723984,458.983795
7725,7.724991,459.269287
7726,7.725986,458.842133
7727,7.726980,458.790466
7728,7.727989,459.015259
7729,7.728983,459.469208
7730,7.729989,459.513885
7731,7.730983,459.867126
7732,7.731988,459.10675
7733,7.732982,459.286591
7734,7.734002,459.023254
7735,7.734984,459.250244
7736,7.735989,460.135742
7737,7.736984,458.841461
7738,7.737980,459.210144
7739,7.738986,459.360931
7740,7.739992,459.458649
7741,7.740986,459.258179
7742,7.741979,459.418823
7743,7.742985,459.880371
7744,7.744087,459.597839
7745,7.744980,459.755249
7746,7.745987,459.192749
7747,7.746979,459.093689
7748,7.747991,458.807037
7749,7.748984,459.256409
7750,7.749979,459.413208
7751,7.750986,458.99765
7752,7.751979,459.100494
7753,7.752986,459.130554
7754,7.753981,458.48822
7755,7.755005,460.186066
7756,7.755987,458.952454
7757,7.756981,459.85437
7758,7.757980,459.116364
7759,7.758987,459.390442
7760,7.760003,459.520996
7761,7.760986,459.76413
7762,7.761979,459.766785
7763,7.762986,459.134491
7764,7.763980,458.60083
7765,7.765013,459.229797
7766,7.766003,459.467072
7767,7.766985,459.083496
7768,7.767984,458.358826
7769,7.768991,459.560577
7770,7.769985,459.771912
7771,7.770979,458.771667
7772,7.771986,459.023529
7773,7.772981,458.274261
7774,7.773988,458.457336
7775,7.774983,458.623047
7776,7.775989,458.671478
7777,7.777005,459.28009
7778,7.777990,459.16748
7779,7.778983,458.849152
7780,7.779989,457.985657
7781,7.780982,458.49765
7782,7.781988,459.309998
